segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1750,0.001953125,0.001970982142857143,0.001953125,0.00390625
无干扰 #1,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,500,0.001953125,0.0019609375,0.001953125,0.00390625
无干扰 #1,GPS,1248,0.001953125,0.002045460236378205,0.001953125,0.00390625
无干扰 #1,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,BDS,1337,0.001953125,0.0022905759162303663,0.001953125,0.00390625
409MHz 干扰,GAL,808,0.001953125,0.002446240717821782,0.00390625,0.00390625
409MHz 干扰,GLO,352,0.001953125,0.0023637251420454545,0.001953125,0.00390625
409MHz 干扰,GPS,750,0.001953125,0.0027317708333333334,0.00390625,0.005859375
409MHz 干扰,QZS,242,0.001953125,0.002332450929752066,0.001953125,0.00390625
无干扰 #2,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,475,0.001953125,0.002294407894736842,0.001953125,0.005859375
无干扰 #2,GPS,1228,0.001953125,0.002015154214169381,0.001953125,0.00390625
无干扰 #2,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
392MHz 干扰,BDS,1024,0.00390625,0.002971649169921875,0.00390625,0.005859375
392MHz 干扰,GAL,550,0.001953125,0.0021342329545454546,0.001953125,0.00390625
392MHz 干扰,GLO,380,0.001953125,0.002811472039473684,0.00390625,0.005859375
392MHz 干扰,GPS,780,0.001953125,0.002478966346153846,0.00390625,0.005859375
392MHz 干扰,QZS,300,0.001953125,0.00263671875,0.00390625,0.00390625
无干扰 #3,BDS,1800,0.001953125,0.002007378472222222,0.001953125,0.00390625
无干扰 #3,GAL,878,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,473,0.001953125,0.002151327959830867,0.001953125,0.00390625
无干扰 #3,GPS,1163,0.001953125,0.002099231513327601,0.001953125,0.005859375
无干扰 #3,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,BDS,1782,0.001953125,0.0020079264870931537,0.001953125,0.00390625
4G/5G 干扰,GAL,904,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,483,0.001953125,0.0021553118530020705,0.001953125,0.005859375
4G/5G 干扰,GPS,1190,0.001953125,0.0021008403361344537,0.001953125,0.00390625
4G/5G 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,BDS,1800,0.001953125,0.002007378472222222,0.001953125,0.00390625
无干扰 #4,GAL,1000,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,450,0.001953125,0.002204861111111111,0.001953125,0.00390625
无干扰 #4,GPS,1200,0.001953125,0.0019873046875,0.001953125,0.00390625
无干扰 #4,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,BDS,1800,0.001953125,0.002007378472222222,0.001953125,0.00390625
Wi-Fi 干扰,GAL,1156,0.001953125,0.0020578773788927337,0.001953125,0.00390625
Wi-Fi 干扰,GLO,471,0.001953125,0.0022765724522292993,0.001953125,0.005859375
Wi-Fi 干扰,GPS,1200,0.001953125,0.0020768229166666665,0.001953125,0.00390625
Wi-Fi 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,BDS,1800,0.001953125,0.002007378472222222,0.001953125,0.00390625
无干扰 #5,GAL,1156,0.001953125,0.0019632623269896193,0.001953125,0.00390625
无干扰 #5,GLO,500,0.001953125,0.00234375,0.001953125,0.00390625
无干扰 #5,GPS,1200,0.001953125,0.002010091145833333,0.001953125,0.00390625
无干扰 #5,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
