baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,14,0.0,0.019535714285714285,0.0,0.04200000000000001,5,1
无干扰 #1,409MHz 干扰,GAL,6,0.07375,0.052583333333333336,0.015875,0.08399999999999999,4,0
无干扰 #1,409MHz 干扰,GLO,4,0.02099999999999999,0.042249999999999996,0.0,0.06324999999999999,2,0
无干扰 #1,409MHz 干扰,GPS,9,0.0635,0.035277777777777776,0.0,0.0635,5,0
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #2,392MHz 干扰,BDS,14,0.127,0.11464285714285714,0.08399999999999999,0.127,12,0
无干扰 #2,392MHz 干扰,GAL,6,0.041999999999999996,0.049166666666666664,0.0,0.08399999999999999,3,0
无干扰 #2,392MHz 干扰,GLO,4,0.02099999999999999,0.026374999999999996,0.0,0.04737499999999999,2,0
无干扰 #2,392MHz 干扰,GPS,8,0.0,0.047625,0.0,0.127,3,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.042333333333333334,0.0,0.0635,1,0
无干扰 #3,4G/5G 干扰,BDS,15,0.0,-0.005599999999999999,0.0,0.0,0,2
无干扰 #3,4G/5G 干扰,GAL,6,0.0,0.027999999999999997,0.0,0.063,2,0
无干扰 #3,4G/5G 干扰,GLO,5,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GPS,9,0.0,-0.004777777777777779,0.0,0.0,1,1
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,15,0.0,-0.002800000000000001,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GAL,7,0.0,0.03014285714285714,0.0,0.041999999999999996,2,0
无干扰 #4,Wi-Fi 干扰,GLO,5,0.0,-0.008399999999999996,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GPS,9,0.0,0.009444444444444446,0.0,0.0,1,1
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
