baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,15,0.0,0.005599999999999999,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,GAL,8,0.0,0.010499999999999999,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #1,409MHz 干扰,GPS,8,0.0,0.0,0.0,0.0,0,0
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #2,392MHz 干扰,BDS,14,0.0,0.027214285714285715,0.0,0.0,3,0
无干扰 #2,392MHz 干扰,GAL,8,0.0,0.010499999999999999,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,GLO,5,0.0,0.016799999999999992,0.0,0.04199999999999998,2,0
无干扰 #2,392MHz 干扰,GPS,8,0.0,0.015875,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,BDS,14,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GLO,5,0.0,-0.008399999999999996,0.0,0.0,0,1
无干扰 #3,4G/5G 干扰,GPS,8,0.0,-0.0079375,0.0,0.0,0,1
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,14,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GLO,6,0.0,0.006999999999999997,0.0,0.0,1,0
无干扰 #4,Wi-Fi 干扰,GPS,8,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
