segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1799,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,662,0.001953125,0.002431080060422961,0.001953125,0.00390625
无干扰 #1,GPS,1150,0.001953125,0.0020380434782608695,0.001953125,0.00390625
无干扰 #1,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,BDS,1691,0.001953125,0.0019542800118273213,0.001953125,0.00390625
409MHz 干扰,GAL,1040,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,GLO,529,0.001953125,0.0023740252835538754,0.001953125,0.005859375
409MHz 干扰,GPS,687,0.001953125,0.001964496906841339,0.001953125,0.00390625
409MHz 干扰,QZS,294,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,BDS,1793,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,570,0.001953125,0.0023163377192982454,0.001953125,0.005859375
无干扰 #2,GPS,1100,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
392MHz 干扰,BDS,1486,0.001953125,0.0021147901244952896,0.001953125,0.00390625
392MHz 干扰,GAL,673,0.001953125,0.0021272520430906387,0.001953125,0.00390625
392MHz 干扰,GLO,455,0.001953125,0.002223557692307692,0.001953125,0.00390625
392MHz 干扰,GPS,772,0.001953125,0.0021656411917098444,0.001953125,0.00390625
392MHz 干扰,QZS,300,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,BDS,1800,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,580,0.001953125,0.0023976293103448276,0.001953125,0.005859375
无干扰 #3,GPS,1082,0.001953125,0.002028939463955638,0.001953125,0.00390625
无干扰 #3,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,BDS,1850,0.001953125,0.001958403716216216,0.001953125,0.00390625
4G/5G 干扰,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,674,0.001953125,0.0025732566765578634,0.00390625,0.00390625
4G/5G 干扰,GPS,1054,0.001953125,0.001954978059772296,0.001953125,0.00390625
4G/5G 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,BDS,1815,0.001953125,0.0019735709366391183,0.001953125,0.005859375
无干扰 #4,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,620,0.001953125,0.002416204637096774,0.001953125,0.005859375
无干扰 #4,GPS,1200,0.001953125,0.0022086588541666667,0.001953125,0.00390625
无干扰 #4,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,BDS,1846,0.001953125,0.0020060265438786567,0.001953125,0.00390625
Wi-Fi 干扰,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,668,0.001953125,0.0026548465568862274,0.00390625,0.005859375
Wi-Fi 干扰,GPS,1200,0.001953125,0.0022786458333333335,0.001953125,0.00390625
Wi-Fi 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,BDS,1878,0.001953125,0.0020363252129925453,0.001953125,0.00390625
无干扰 #5,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,590,0.001953125,0.00234375,0.001953125,0.005859375
无干扰 #5,GPS,1200,0.001953125,0.002197265625,0.001953125,0.00390625
无干扰 #5,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
